data,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,small_caps_retorno,small_caps_peso,small_caps_saldo,small_caps_mov,emergentes_retorno,emergentes_peso,emergentes_saldo,emergentes_mov,bil_retorno,bil_peso,bil_saldo,bil_mov,saldo_total,retorno_total
2006-01-01,0.0527,0.3575868745541628,36844.5,0.0,-0.0225,0.2371732347274995,24437.5,0.0,0.0337,0.20064734341713858,20674.0,0.0,0.0886,0.15847782096635657,16329.0,0.0,-0.0497,0.04611472633484251,4751.5,0.0,103036.5,0.030364999999999975
2006-02-01,-0.0472,0.3566558130345231,35105.4396,0.0,-0.0351,0.23955981677272503,23579.74375,0.0,-0.0324,0.20323348421612236,20004.1624,0.0,-0.0726,0.15385144220963326,15143.5146,0.0,-0.0326,0.046699443766996244,4596.6011,0.0,98429.46145,-0.04471268482528035
2006-03-01,0.0626,0.35991036373902235,37303.040118959994,0.0,0.0345,0.23535297981372624,24393.244909375,0.0,0.071,0.2067092768324381,21424.4579304,0.0,0.0454,0.15274229140844706,15831.030162840001,0.0,0.0211,0.045285088206366314,4693.58938321,0.0,103645.362504785,0.05299125869376575
2006-04-01,0.08,0.38179187030415224,40287.28332847679,0.0,-0.0254,0.2252966202951854,23773.656488676876,0.0,-0.0342,0.19609013124457372,20691.74146918032,0.0,0.0256,0.15386714027617543,16236.304535008705,0.0,-0.0343,0.04295423787991326,4532.599267365897,0.0,105521.58508870858,0.018102330278761514
2006-05-01,0.0774,0.39138860430979466,43405.519058100894,0.0,0.0627,0.22780847998573825,25264.264750516915,0.0,0.0343,0.19297755104326755,21401.468201573207,0.0,-0.0256,0.142655226073835,15820.655138912482,0.0,0.1052,0.045170138587364524,5009.428710292789,0.0,110901.33585939629,0.0509824673896353
2006-06-01,-0.101,0.38051748921089734,39021.561633232704,0.0,-0.0589,0.23185283672993756,23776.199556711468,0.0,-0.0609,0.1959861517329956,20098.1187880974,0.0,-0.057,0.1454809516372942,14918.877795994471,0.0,-0.055,0.046162570688875276,4733.910131226686,0.0,102548.66790526273,-0.07531620687349794
2006-07-01,0.0361,0.3890261779754682,40430.240008192406,0.0,0.0055,0.23003664189643053,23906.96865427338,0.0,-0.0281,0.18795310204023957,19533.361650151863,0.0,0.0239,0.14698269513763978,15275.438975318739,0.0,0.0099,0.04600138295022201,4780.7758415258295,0.0,103926.78512946221,0.013438665292782037
2006-08-01,-0.0351,0.37989757898907356,39011.13858390485,0.0,0.0027,0.23343900696012299,23971.51746963992,0.0,0.0112,0.19234989423434073,19752.135300633563,0.0,-0.0027,0.14835337082260786,15234.195290085378,0.0,-0.0128,0.04596014899385478,4719.581910754299,0.0,102688.56855501802,-0.011914316149602144
2006-09-01,-0.025,0.36754925527306553,38035.86011930723,0.0,0.0444,0.2419271981637708,25035.85284529193,0.0,0.0227,0.19520215743724847,20200.508771957946,0.0,0.0105,0.14875725028196649,15394.154340631274,0.0,0.021,0.046564138843948666,4818.6931308801395,0.0,103485.06920806853,0.007756468555930374
2006-10-01,-0.002,0.35994180610562493,37959.78839906862,0.0,0.0159,0.24116920913060352,25433.922905532072,0.0,0.0428,0.199743124426766,21065.090547397747,0.0,0.0544,0.15391102921887653,16231.596336761615,0.0,-0.01,0.045234831118129176,4770.506199571338,0.0,105460.90438833137,0.01909294930547145
2006-11-01,0.0831,0.3690286144450031,41114.24681503122,0.0,0.0294,0.23499856937404145,26181.680238954716,0.0,0.0372,0.19610720152444971,21848.711915760945,0.0,0.0734,0.15638335588830019,17422.995507879918,0.0,0.0155,0.04348225876820558,4844.449045664694,0.0,111412.08352329148,0.05643019249148962
2006-12-01,-0.0336,0.3613283380505624,39732.80812204617,0.0,-0.0032,0.2373330974624598,26097.89886219006,0.0,-0.0161,0.19549225781099477,21496.947653917196,0.0,0.0236,0.1621832000996237,17834.178201865885,0.0,-0.0089,0.04366310657635927,4801.333449158278,0.0,109963.16628917759,-0.013005027715965678
2007-01-01,0.0229,0.3145069668641288,35018.62156404102,-5498.16,0.0112,0.2536581628724572,28243.44179344659,1832.72,0.014,0.21246027061174996,23656.28300107204,1832.72,-0.0017,0.1763307944531787,19633.464474922715,1832.72,-0.0018,0.04304380519848533,4792.691048949793,0.0,111344.50188243216,0.012561802646005704
2007-02-01,0.0253,0.2895267783311382,31965.22604161126,-3842.16,-0.0226,0.2656589317980916,29330.0946249147,1764.84,-0.0073,0.2285723596913459,25235.548803164213,1764.84,-0.0406,0.1859473677141184,20529.533313240852,1764.84,0.0013,0.03029456246530592,3344.6734793134283,-1452.36,110405.07626224445,-0.008437108292779882
2007-03-01,-0.0502,0.27348473886325153,29361.562556322373,-1051.81,-0.0315,0.267846639907801,28756.251284229886,361.44,-0.0328,0.2305998916556155,24757.407570420426,361.44,0.0179,0.19806955289378897,21264.92173554786,361.44,-0.0276,0.029999176679542956,3220.738043284378,-32.52,107360.88118980493,-0.02757296290624045
2007-04-01,0.0202,0.27833245619955704,30668.285817960088,699.49,0.041,0.26947669643338035,29692.506796883314,-233.19,0.0132,0.22550942185707518,24847.937242349977,-233.19,0.035,0.19755577675163286,21767.842346292036,-233.19,-0.0036,0.02912564875835458,3209.2330623285543,0.09,110185.80526581396,0.026312415143229018
2007-05-01,-0.0691,0.26693334751565817,28720.150833939046,183.74,-0.0137,0.27133407802157683,29193.638485766012,-93.36,-0.0038,0.2292018758345761,24660.509848829046,-93.36,0.0023,0.20191220926344514,21724.333655688508,-93.36,-0.0034,0.0306184893647437,3294.3341139166373,96.34,107592.96693813926,-0.023531509538998296
2007-06-01,-0.0281,0.2764576265230411,29279.48936750536,1405.88,-0.0279,0.2636551054904678,27923.58074901314,-468.63,-0.0249,0.2227326324973566,23589.5020405932,-468.63,0.0276,0.2062360864665097,21842.36107658551,-468.63,-0.006,0.030918549022624784,3274.5681092331374,0.0,105909.50134293035,-0.015646613743599214
2007-07-01,-0.0019,0.29090335826138897,29598.315514707097,375.17,-0.0544,0.2583514416345518,26286.281220266825,-125.06,-0.0922,0.2093544272896981,21301.020484450506,-125.06,-0.0163,0.2099666228867281,21363.309069037165,-125.06,-0.0236,0.03142414992763299,3197.288301855235,0.0,101746.21459031683,-0.039309851333668155
